LAUNCH_DATE,LAUNCH_SITE,NORAD_CAT_ID,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,COUNT
1963-12-21,AFWTR,1437,177.32,129.31,472.0,362.0,0.0,2
1964-01-11,AFWTR,2918,412.63,279.63,3679.0,3585.0,1.536,4
1964-01-19,AFWTR,1469,201.62,198.22,1617.0,1571.0,0.6407,2
1964-01-21,AFETR,737,194.72,46.45,7638.0,1862.0,0.7637,1
1964-01-25,AFWTR,740,94.48,81.4,522.0,465.0,0.0,1
1964-01-29,AFETR,744,88.08,31.42,184.0,174.0,0.0,1
1964-01-30,AFETR,747,0.0,0.0,0.0,0.0,0.0,1
1964-01-30,TYMSC,1494,259.71999999999997,117.55000000000001,7787.0,484.0,6.6434999999999995,2
1964-02-15,AFWTR,752,89.15,75.01,303.0,162.0,0.0,1
1964-02-25,AFWTR,754,87.96,95.6,188.0,160.0,0.0,1
1964-02-27,KYMSC,757,88.65,49.03,216.0,200.0,0.0,1
1964-02-28,AFWTR,759,88.02,82.08,193.0,160.0,0.0,1
1964-03-11,AFWTR,764,88.61,95.7,241.0,170.0,0.0,1
1964-03-18,KYMSC,766,87.72,48.96,180.0,143.0,0.0,1
1964-03-27,TYMSC,772,88.56,64.8,209.0,198.0,0.0,1
1964-03-27,WLPIS,771,89.22,51.59,275.0,196.0,0.0,1
1964-04-02,TYMSC,785,0.0,0.0,0.0,0.0,0.0091,1
1964-04-04,TYMSC,779,90.35,65.02,378.0,205.0,0.0,1
1964-04-08,AFETR,782,87.6,32.54,174.0,138.0,0.0,1
1964-04-12,TYMSC,784,87.89,58.02,170.0,170.0,0.0,1
1964-04-23,AFWTR,786,89.43,103.77,363.0,130.0,903.0,1
1964-04-25,TYMSC,791,89.48,65.01,295.0,202.0,0.0,1
1964-04-27,AFWTR,796,88.44,79.87,232.0,162.0,0.0,1
1964-05-18,TYMSC,797,90.2,64.88,365.0,203.0,0.0,1
1964-05-19,AFWTR,799,88.57,101.11,244.0,163.0,0.0,1
1964-05-28,AFETR,800,88.14,31.77,189.0,176.0,0.0,1
1964-06-04,AFWTR,1603,190.2,170.43,1137.0,941.0,1.1986,2
1964-06-06,KYMSC,803,88.38,48.95,214.0,175.0,0.0,1
1964-06-10,TYMSC,807,89.77,51.24,323.0,203.0,0.0,1
1964-06-13,AFWTR,811,88.12,114.97,187.0,176.0,0.0,1
1964-06-18,AFWTR,1625,202.32,199.61,1635.0,1619.0,0.6649,2
1964-06-19,AFWTR,814,88.3,84.99,226.0,155.0,0.0,1
1964-06-23,TYMSC,816,89.27,65.03,268.0,209.0,0.0,1
1964-07-01,TYMSC,822,89.95,64.91,343.0,201.0,0.0,1
1964-07-02,AFWTR,824,88.04,82.02,182.0,174.0,0.0,1
1964-07-06,AFWTR,1651,177.51999999999998,185.83,552.0,307.0,0.0,2
1964-07-10,AFWTR,828,88.86,84.98,272.0,164.0,0.0,1
1964-07-10,TYMSC,1659,1428.7,126.66999999999999,71077.0,474.0,11.0276,2
1964-07-15,TYMSC,833,89.26,51.26,263.0,212.0,0.0,1
1964-07-17,AFETR,2511,14367.35,116.47,432390.0,84367.0,0.9915,3
1964-07-28,AFETR,842,0.0,0.0,0.0,0.0,0.0,1
1964-07-30,KYMSC,844,88.45,48.97,207.0,188.0,0.0,1
1964-08-05,AFWTR,846,88.69,79.99,258.0,161.0,0.0,1
1964-08-14,AFWTR,1701,176.0,190.89999999999998,414.0,287.0,0.3548,2
1964-08-14,TYMSC,848,89.39,64.96,286.0,203.0,0.0,1
1964-08-18,TYMSC,2562,266.28,168.31,764.0,514.0,0.0,3
1964-08-19,AFETR,858,1436.71,3.16,35803.0,35794.0,2.5119,1
1964-08-21,AFWTR,861,88.45,114.96,200.0,196.0,0.0,1
1964-08-22,KYMSC,1731,176.87,97.83,449.0,339.0,0.0,2
1964-08-22,TYMSC,898,90.88,63.99,549.0,87.0,12.9515,1
1964-08-25,AFWTR,870,103.51,79.9,996.0,853.0,0.4927,1
1964-08-28,AFWTR,872,88.15,98.67,187.0,179.0,0.0,1
1964-08-28,TYMSC,876,98.37,65.06,774.0,588.0,3.7615,1
1964-09-05,AFETR,879,3807.68,79.79,136166.0,12624.0,1.0,1
1964-09-13,TYMSC,880,89.68,64.91,317.0,200.0,0.0,1
1964-09-14,AFWTR,882,88.77,84.97,272.0,155.0,0.0,1
1964-09-18,AFETR,883,88.33,31.73,207.0,177.0,0.0,1
1964-09-23,AFWTR,884,88.04,92.91,233.0,121.0,0.0,1
1964-09-24,TYMSC,885,89.22,51.25,261.0,211.0,0.0,1
1964-10-04,AFETR,889,2080.34,33.72,94291.0,917.0,0.0,1
1964-10-05,AFWTR,890,88.97,79.96,287.0,161.0,0.0,1
1964-10-06,AFWTR,2699,317.67,270.53000000000003,3157.0,3058.0,0.6215,3
1964-10-06,TYMSC,891,90.1,64.6,383.0,174.0,0.0,1
1964-10-10,AFWTR,899,104.18,79.69,1044.0,868.0,1.423,1
1964-10-12,TYMSC,904,89.65,64.72,336.0,178.0,0.0,1
1964-10-14,TYMSC,908,89.37,65.09,283.0,203.0,0.0,1
1964-10-17,AFWTR,911,89.07,74.99,289.0,168.0,0.0,1
1964-10-23,AFWTR,1826,177.24,190.93,492.0,333.0,0.0,2
1964-10-24,KYMSC,913,88.48,48.98,212.0,186.0,0.0,1
1964-10-28,TYMSC,919,88.71,51.23,233.0,188.0,0.0,1
1964-11-02,AFWTR,921,88.82,79.95,267.0,164.0,0.0,1
1964-11-04,AFWTR,922,87.94,82.02,173.0,173.0,0.0,1
1964-11-05,AFETR,923,0.0,0.0,0.0,0.0,0.0,1
1964-11-06,WLPIS,924,87.91,51.91,177.0,165.0,1.1473,1
1964-11-18,AFWTR,930,88.93,70.03,276.0,167.0,0.0,1
1964-11-21,AFWTR,1863,206.13,162.61,2690.0,888.0,0.4829,2
1964-11-28,AFETR,938,0.0,0.0,0.0,0.0,0.0,1
1964-11-30,TYMSC,945,0.0,0.0,0.0,0.0,0.0,1
1964-12-04,AFWTR,946,89.7,97.0,357.0,158.0,0.0,1
1964-12-09,KYMSC,947,88.05,48.74,178.0,178.0,0.0,1
1964-12-10,AFETR,949,88.0,32.15,183.0,169.0,0.0,1
1964-12-11,AFETR,951,87.8,30.7,178.0,165.0,0.0,1
1964-12-13,AFWTR,1924,211.88,180.03,2139.0,2015.0,2.4362,2
1964-12-15,WLPIS,957,87.85,37.75,185.0,151.0,0.0,1
1964-12-19,AFWTR,961,88.17,74.94,210.0,158.0,0.0,1
1964-12-21,AFETR,963,89.08,19.69,268.0,189.0,0.67,1
1964-12-21,AFWTR,964,88.15,70.06,195.0,171.0,0.0,1
1965-01-11,TYMSC,968,89.41,64.99,288.0,203.0,0.0,1
1965-01-15,AFWTR,972,88.22,74.97,219.0,154.0,0.0,1
1965-01-19,AFWTR,973,87.62,98.65,161.0,152.0,2.0399,1
1965-01-22,AFETR,978,118.92,96.39,2561.0,704.0,0.761,1
1965-01-23,AFWTR,980,88.79,102.55,288.0,141.0,0.0,1
1965-01-30,KYMSC,983,88.14,48.64,214.0,151.0,0.0,1
1965-02-03,AFETR,987,87.43,32.82,148.0,146.0,2.4324,1
1965-02-11,AFETR,1002,145.7,32.14,2808.0,2780.0,0.6539,1
1965-02-16,AFETR,2173,175.35000000000002,63.44,337.0,300.0,35.7812,2
1965-02-17,AFETR,1086,0.0,0.0,0.0,0.0,0.0,1
1965-02-21,TYMSC,3270,265.27,167.9,665.0,514.0,0.0,3
1965-02-22,TYMSC,1093,93.2,64.8,708.0,159.0,0.0,1
1965-02-25,AFWTR,1096,89.37,75.07,307.0,180.0,0.0,1
1965-02-26,TYMSC,1097,87.35,64.96,145.0,142.0,12.3545,1
1965-03-07,TYMSC,1191,89.79,64.98,323.0,206.0,0.0,1
1965-03-09,AFWTR,10181,810.4799999999999,560.54,6664.0,6441.0,7.3588,8
1965-03-11,AFWTR,2553,177.0,179.89,453.0,348.0,0.0,2
1965-03-12,AFWTR,1247,88.83,107.63,286.0,147.0,0.0,1
1965-03-12,TYMSC,1246,88.91,64.72,247.0,194.0,0.0,1
1965-03-15,TYMSC,3804,265.05,167.84,694.0,463.0,0.31,3
1965-03-18,AFWTR,1273,87.41,98.97,149.0,143.0,0.8268,1
1965-03-18,TYMSC,1274,90.93,64.79,472.0,168.0,0.0,1
1965-03-21,AFETR,1294,0.0,0.0,0.0,0.0,0.0,1
1965-03-23,AFETR,1301,88.4,33.0,240.0,160.0,0.0,1
1965-03-25,AFWTR,1307,88.6,96.03,234.0,176.0,0.0,1
1965-03-25,TYMSC,1305,89.06,65.01,251.0,205.0,0.0,1
1965-04-03,AFWTR,2629,222.88,180.54,2632.0,2539.0,5.5511,2
1965-04-06,AFETR,1317,1435.64,3.37,35793.0,35762.0,0.7943,1
1965-04-17,TYMSC,1320,89.72,65.01,318.0,203.0,0.0,1
1965-04-23,TYMSC,1324,100.88,63.73,1510.0,91.0,32.186,1
1965-04-28,AFWTR,2656,177.31,190.74,450.0,371.0,0.0,2
1965-04-29,AFWTR,2697,181.82999999999998,169.88,958.0,314.0,0.0,2
1965-04-29,WLPIS,1328,107.57,41.18,1307.0,921.0,2.0809,1
1965-05-06,AFETR,2721,455.36,64.22,17606.0,5547.0,1.3900000000000001,2
1965-05-07,TYMSC,1362,89.24,64.99,286.0,188.0,0.0,1
1965-05-09,TYMSC,1366,0.0,0.0,0.0,0.0,0.0,1
1965-05-18,AFWTR,1374,88.18,74.99,197.0,171.0,0.0,1
1965-05-20,AFWTR,1377,87.44,98.05,152.0,143.0,0.6255,1
1965-05-25,AFETR,2766,175.5,63.480000000000004,328.0,324.0,28.4968,2
1965-05-25,TYMSC,1382,89.9,51.82,336.0,203.0,0.0,1
1965-05-27,AFWTR,1386,88.7,95.6,267.0,149.0,0.0,1
1965-05-29,AFETR,1388,8341.72,53.61,227451.0,32289.0,0.0,1
1965-06-03,AFETR,1390,88.56,32.55,251.0,156.0,0.0,1
1965-06-08,TYMSC,1393,0.0,0.0,0.0,0.0,0.0,1
1965-06-09,AFWTR,1396,88.94,75.06,278.0,167.0,0.0,1
1965-06-15,TYMSC,1404,89.71,65.02,319.0,201.0,0.0,1
1965-06-18,AFETR,1412,87.88,32.14,174.0,164.0,0.0,1
1965-06-24,AFWTR,1420,106.55,89.91,1121.0,1013.0,1.4843,1
1965-06-25,AFWTR,2846,177.07,215.26,475.0,334.0,0.0,2
1965-06-25,TYMSC,1421,89.66,64.89,310.0,206.0,0.0,1
1965-07-02,AFETR,1430,99.98,98.36,798.0,716.0,0.7788,1
1965-07-02,KYMSC,1431,88.45,48.69,238.0,158.0,0.0,1
1965-07-16,TYMSC,8681,529.16,343.44,1208.0,1013.0,1.1303,6
1965-07-17,AFWTR,1447,87.9,70.15,171.0,171.0,0.0,1
1965-07-18,TYMSC,1454,0.0,0.0,0.0,0.0,0.0,1
1965-07-19,AFWTR,1457,91.0,85.1,461.0,189.0,0.0,1
1965-07-20,AFETR,4377,16068.03,94.83000000000001,447870.0,111589.0,0.006,3
1965-07-23,KYMSC,1464,89.85,48.77,312.0,222.0,0.0,1
1965-07-30,AFETR,2935,176.26999999999998,57.76,365.0,363.0,0.0,2
1965-08-03,AFWTR,2943,178.76,214.73000000000002,526.0,452.0,0.0,2
1965-08-03,TYMSC,1469,89.29,51.8,280.0,199.0,0.0,1
1965-08-10,WLPIS,1506,122.17,69.23,2419.0,1136.0,0.4169,1
1965-08-11,AFETR,1503,0.0,0.0,0.0,0.0,0.0025,1
1965-08-13,AFWTR,9148,641.3299999999999,539.73,6778.0,6210.0,3.29,6
1965-08-14,TYMSC,1505,89.55,68.97,304.0,200.0,0.0,1
1965-08-17,AFWTR,1513,88.33,70.02,222.0,162.0,0.0,1
1965-08-21,AFETR,3034,178.86,65.21000000000001,610.0,366.0,0.0,2
1965-08-25,TYMSC,1523,89.9,64.9,338.0,206.0,0.0,1
1965-09-03,TYMSC,7860,578.3499999999999,280.28000000000003,7741.0,7115.0,1.8954,5
1965-09-09,TYMSC,1578,89.5,64.9,291.0,202.0,0.0,1
1965-09-10,AFWTR,1580,100.86,98.34,967.0,632.0,0.5906,1
1965-09-18,TYMSC,7930,579.16,280.3,8198.0,6731.0,2.1587,5
1965-09-22,AFWTR,1602,88.69,80.05,255.0,165.0,0.0,1
1965-09-23,TYMSC,1603,89.8,65.0,324.0,203.0,0.0,1
1965-09-30,AFWTR,1609,90.5,95.6,361.0,237.0,0.0,1
1965-10-04,TYMSC,1610,0.0,0.0,0.0,0.0,0.0,1
